sa2_code,sa2_name,state,state_code,erp_2001,erp_2010,erp_2015,erp_2020,erp_2024,erp_2025,change_2015_25_abs,change_2015_25_pct,change_2020_25_abs,change_2020_25_pct,change_2024_25_abs,change_2024_25_pct,natural_increase_2024_25,net_internal_migration_2024_25,net_overseas_migration_2024_25,source_id,geography_version
101021007,Braidwood,NSW,1,2760.0,3429.0,3849.0,4282.0,4480.0,4494.0,645.0,16.76,212.0,4.95,14.0,0.31,-6.0,10.0,10.0,SRC-ABS-SA2-ERP-2025,ASGS Edition 3 (2021)
101021008,Karabar,NSW,1,9129.0,9101.0,8603.0,8535.0,8432.0,8409.0,-194.0,-2.26,-126.0,-1.48,-23.0,-0.27,59.0,-120.0,38.0,SRC-ABS-SA2-ERP-2025,ASGS Edition 3 (2021)
101021009,Queanbeyan,NSW,1,9717.0,10584.0,11213.0,11460.0,11344.0,11251.0,38.0,0.34,-209.0,-1.82,-93.0,-0.82,56.0,-263.0,114.0,SRC-ABS-SA2-ERP-2025,ASGS Edition 3 (2021)
101021010,Queanbeyan - East,NSW,1,3925.0,4813.0,4961.0,5089.0,5133.0,5111.0,150.0,3.02,22.0,0.43,-22.0,-0.43,48.0,-126.0,56.0,SRC-ABS-SA2-ERP-2025,ASGS Edition 3 (2021)
101021012,Queanbeyan West - Jerrabomberra,NSW,1,9425.0,13146.0,13164.0,12821.0,12872.0,12735.0,-429.0,-3.26,-86.0,-0.67,-137.0,-1.06,85.0,-311.0,89.0,SRC-ABS-SA2-ERP-2025,ASGS Edition 3 (2021)
101021610,Googong,NSW,1,26.0,51.0,937.0,5464.0,8496.0,9323.0,8386.0,894.98,3859.0,70.63,827.0,9.73,172.0,628.0,27.0,SRC-ABS-SA2-ERP-2025,ASGS Edition 3 (2021)
101021611,Queanbeyan Surrounds,NSW,1,10242.0,14286.0,15681.0,16306.0,17654.0,18181.0,2500.0,15.94,1875.0,11.5,527.0,2.99,138.0,342.0,47.0,SRC-ABS-SA2-ERP-2025,ASGS Edition 3 (2021)
101031013,Bombala,NSW,1,2622.0,2503.0,2428.0,2458.0,2472.0,2474.0,46.0,1.89,16.0,0.65,2.0,0.08,7.0,-7.0,2.0,SRC-ABS-SA2-ERP-2025,ASGS Edition 3 (2021)
101031014,Cooma,NSW,1,6915.0,6934.0,6887.0,6842.0,6717.0,6598.0,-289.0,-4.2,-244.0,-3.57,-119.0,-1.77,-22.0,-150.0,53.0,SRC-ABS-SA2-ERP-2025,ASGS Edition 3 (2021)
101031015,Cooma Surrounds,NSW,1,2932.0,3244.0,3314.0,3421.0,3557.0,3577.0,263.0,7.94,156.0,4.56,20.0,0.56,0.0,16.0,4.0,SRC-ABS-SA2-ERP-2025,ASGS Edition 3 (2021)
101031016,Jindabyne - Berridale,NSW,1,6341.0,6896.0,7020.0,7787.0,8558.0,8703.0,1683.0,23.97,916.0,11.76,145.0,1.69,42.0,39.0,64.0,SRC-ABS-SA2-ERP-2025,ASGS Edition 3 (2021)
101041017,Batemans Bay,NSW,1,6537.0,7669.0,7829.0,8486.0,8668.0,8679.0,850.0,10.86,193.0,2.27,11.0,0.13,-54.0,39.0,26.0,SRC-ABS-SA2-ERP-2025,ASGS Edition 3 (2021)
