dimension,value,feature_count
state,ACT,535
state,NSW,31017
state,QLD,9959
state,SA,4301
state,VIC,34070
surface,SEALED,79817
surface,UNKNOWN,11
surface,UNSEALED,54
route_number_top75,A1,7535
route_number_top75,M1,5121
route_number_top75,A32,3103
route_number_top75,M31,2712
route_number_top75,A39,2683
route_number_top75,A20,2102
route_number_top75,B400,1800
route_number_top75,A300,1543
route_number_top75,A15,1439
route_number_top75,A79,1379
route_number_top75,A2,1350
route_number_top75,B75,1335
route_number_top75,B76,1282
route_number_top75,B55,1161
route_number_top75,A8,1121
route_number_top75,M2,1094
route_number_top75,A3,1070
route_number_top75,B56,1018
route_number_top75,B160,827
route_number_top75,A43,770
route_number_top75,B220,768
route_number_top75,B500,764
route_number_top75,M3,752
route_number_top75,A440,720
route_number_top75,M80,694
route_number_top75,B23,637
route_number_top75,B300,632
route_number_top75,B72,630
route_number_top75,B60,618
route_number_top75,ALT1,614
route_number_top75,B84,614
route_number_top75,M8,601
route_number_top75,B140,597
route_number_top75,2,593
route_number_top75,B180,578
route_number_top75,B64,551
route_number_top75,15,537
route_number_top75,13,526
route_number_top75,A66,522
route_number_top75,49,503
route_number_top75,A200,498
route_number_top75,B58,496
route_number_top75,M7,492
route_number_top75,M79,483
route_number_top75,M420,474
route_number_top75,A22,458
route_number_top75,B240,457
route_number_top75,A28,450
route_number_top75,A44,420
route_number_top75,M11,417
route_number_top75,B460,396
route_number_top75,B51,371
route_number_top75,A13,367
route_number_top75,B79,361
route_number_top75,M5,353
route_number_top75,B12,347
route_number_top75,B340,342
route_number_top75,B71,339
route_number_top75,C412,325
route_number_top75,A7,323
route_number_top75,B110,316
route_number_top75,A41,316
route_number_top75,B360,315
route_number_top75,A5,301
route_number_top75,A17,296
route_number_top75,B83,290
route_number_top75,B260,288
route_number_top75,M4,287
route_number_top75,B200,283
route_number_top75,M23,267
route_number_top75,C240,267
route_number_top75,A48,267
route_number_top75,85,254
route_number_top75,C101,240
route_number_top75,C482,237
