dimension,value,feature_count,source_length_km_sum
operational_status,Operational,22220,18478.817
operational_status,Dismantled,1926,4344.147
operational_status,Abandoned,1576,3412.44
operational_status,Disused,1056,1435.718
operational_status,The feature has been physically removed,945,1115.699
operational_status,Fully capable of operation.,279,469.335
operational_status,Unknown,21,4.086
operational_status,Under Construction,14,17.519
operational_status,Proposed,1,6.783
operational_status,N/A,1,0.029
feature_subtype,Railway,23683,27940.832
feature_subtype,Rail Siding,3296,773.079
feature_subtype,Tramline,1060,570.663
track_gauge,Unknown,15048,15237.109
track_gauge,Broad: 1600mm,4988,4111.366
track_gauge,Narrow: 1067mm,3982,5230.302
track_gauge,Standard: 1435mm,2894,4112.419
track_gauge,Standard-Broad,687,302.382
track_gauge,Light,288,229.074
track_gauge,Standard-Narrow,148,59.731
track_gauge,Other,3,2.146
track_gauge,UNKNOWN,1,0.046
source_jurisdiction,NSW,13054,12827.714
source_jurisdiction,VIC,9337,7871.887
source_jurisdiction,QLD,4417,5399.813
source_jurisdiction,SA,1231,3185.159
owner_top30,UNKNOWN,22391,20699.601
owner_top30,Queensland Rail,2887,3628.818
owner_top30,Private,1078,1087.629
owner_top30,AUSTRALIAN RAIL TRACK CORPORATION,422,814.718
owner_top30,RAIL COMMISSIONER (METRO RAIL),418,269.113
owner_top30,Aurizon,303,56.941
owner_top30,GENESEE AND WYOMING AUSTRALIA PTY LTD,205,604.249
owner_top30,Department of Transport and Main Roads,109,512.467
owner_top30,STEAMRANGER R.P.S.,70,89.588
owner_top30,MINISTER FOR TRANSPORT AND INFRASTRUCTURE,55,569.221
owner_top30,ARTC,29,102.614
owner_top30,NATIONAL RAILWAY MUSEUM,25,5.372
owner_top30,MINISTER FOR ENVIRONMENT AND CONSERVATION,20,749.304
owner_top30,AUSTRALIAN ELECTRIC TRANSPORT MUSEUM,10,2.985
owner_top30,Department of Natural Resources and Mines,8,9.87
owner_top30,Department of National Parks Sport and Racing,3,1.473
owner_top30,Unknown,3,64.821
owner_top30,MINISTER FOR SUSTAINABILITY ENVIRONMENT AND CONS,2,12.098
owner_top30,PRIVATE,1,3.69
