source_record_id,survey_id,site_name,kci_id,site_owner,custodian,region,max_site_capacity_ac,gen_info_unit_id,unit_name,technology_type,technology_detail,gas_turbine_fuel_type,duid,dispatch_type,unit_count,unit_capacity_mw_dc,unit_capacity_mw_ac,aggregated_nameplate_capacity_mw_dc,aggregated_nameplate_capacity_mw_ac,agg_nameplate_storage_capacity_mwh,commitment_status,full_commercial_use_date,expected_closure_year,closure_date,survey_last_requested_date,survey_latest_update_date,scheduled_capacity_mw_winter_2026,scheduled_capacity_mw_summer_typical_2026_27,scheduled_capacity_mw_summer_peak_2026_27,scheduled_capacity_mw_winter_2027,scheduled_capacity_mw_summer_typical_2027_28,scheduled_capacity_mw_summer_peak_2027_28,scheduled_capacity_mw_winter_2028,scheduled_capacity_mw_summer_typical_2028_29,scheduled_capacity_mw_summer_peak_2028_29,scheduled_capacity_mw_winter_2029,scheduled_capacity_mw_summer_typical_2029_30,scheduled_capacity_mw_summer_peak_2029_30,scheduled_capacity_mw_winter_2030,scheduled_capacity_mw_summer_typical_2030_31,scheduled_capacity_mw_summer_peak_2030_31,scheduled_capacity_mw_winter_2031,scheduled_capacity_mw_summer_typical_2031_32,scheduled_capacity_mw_summer_peak_2031_32,scheduled_capacity_mw_winter_2032,scheduled_capacity_mw_summer_typical_2032_33,scheduled_capacity_mw_summer_peak_2032_33,scheduled_capacity_mw_winter_2033,scheduled_capacity_mw_summer_typical_2033_34,scheduled_capacity_mw_summer_peak_2033_34,scheduled_capacity_mw_winter_2034,scheduled_capacity_mw_summer_typical_2034_35,scheduled_capacity_mw_summer_peak_2034_35,scheduled_capacity_mw_winter_2035,scheduled_capacity_mw_summer_typical_2035_36,scheduled_capacity_mw_summer_peak_2035_36,scheduled_storage_capacity_mwh_winter_2026,scheduled_storage_capacity_mwh_summer_2026_27,scheduled_storage_capacity_mwh_winter_2027,scheduled_storage_capacity_mwh_summer_2027_28,scheduled_storage_capacity_mwh_winter_2028,scheduled_storage_capacity_mwh_summer_2028_29,scheduled_storage_capacity_mwh_winter_2029,scheduled_storage_capacity_mwh_summer_2029_30,scheduled_storage_capacity_mwh_winter_2030,scheduled_storage_capacity_mwh_summer_2030_31,scheduled_storage_capacity_mwh_winter_2031,scheduled_storage_capacity_mwh_summer_2031_32,scheduled_storage_capacity_mwh_winter_2032,scheduled_storage_capacity_mwh_summer_2032_33,scheduled_storage_capacity_mwh_winter_2033,scheduled_storage_capacity_mwh_summer_2033_34,scheduled_storage_capacity_mwh_winter_2034,scheduled_storage_capacity_mwh_summer_2034_35,scheduled_storage_capacity_mwh_winter_2035,scheduled_storage_capacity_mwh_summer_2035_36,column_77,column_78,column_79,column_80,column_81,column_82,column_83,column_84,column_85,column_86,column_87,column_88,column_89,column_90,column_91,column_92,column_93,column_94,column_95,column_96,column_97,column_98,column_99,column_100,column_101,column_102,column_103,column_104,column_105,column_106,column_107,column_108,column_109,column_110,column_111,column_112,column_113,column_114,column_115,column_116,column_117,column_118,column_119,column_120,column_121,column_122,column_123,column_124,column_125,column_126,column_127,column_128,column_129,column_130,column_131,column_132,column_133,column_134,column_135,column_136,column_137,column_138,column_139,column_140,column_141,column_142,column_143,column_144,column_145,column_146,column_147,column_148,column_149,column_150,column_151,column_152,column_153,column_154,column_155,column_156,column_157,column_158,column_159,column_160,column_161,column_162,column_163,column_164,column_165
248901|2489|AMBS_GU1||Battery Storage|Lithium-ion,2489,Abermain BESS,Q00086,Firm Power P/L,agl_nr,QLD1,125,248901,AMBS_GU1,Battery Storage,Lithium-ion,,,Scheduled,66,1.93,1.93,127.38,127.38,254.1,Publicly Announced,47480,2049,,46361,46164.56862268518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
193402|1934|QBESS|QBYNB1|Battery Storage|Lithium-ion,1934,ACT BESS,N00010,Berrybank 2 Asset Pty Ltd as Trustee for Berrybank 2 Asset Trust,BERBANK,NSW1,10,193402,QBESS,Battery Storage,Lithium-ion,,QBYNB1,Scheduled,1,,10,,10,20,In Service,,2033,,46091,46099.69997685185,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0,0,0,0,0,0,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154701|1547|Alberton Wind Farm:1 - 34||Wind|Onshore,1547,Alberton Wind Farm,,Synergy Wind Pty Ltd,exceed-energy_NR,VIC1,,154701,Alberton Wind Farm:1 - 34,Wind,Onshore,,,Semi-scheduled,34,,3.6,,122.4,,Publicly Announced,,,,46091,43246.69291666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
325501|3255|Albury Mill BESS||Battery Storage|Lithium-ion,3255,Albury Mill BESS - KCI,N00287,VISY PULP AND PAPER PTY. LTD.,visy_NR,NSW1,350,325501,Albury Mill BESS,Battery Storage,Lithium-ion,,,Scheduled,1,,350,,350,,Publicly Announced,,,,46091,46119.639328703706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
259101|2591|ADBS_GU1||Battery Storage|Lithium-ion,2591,Aldoga BESS,Q00118,Acciona Energy Australia Global,acciona_NR,QLD1,400,259101,ADBS_GU1,Battery Storage,Lithium-ion,,,Scheduled,1,,400,,400,800,Publicly Announced,47848,2055,,46361,46174.57990740741,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150901|1509|ADSF_GU1|ALDGASF1|Solar PV|Single Axis Tracking,1509,Aldoga Solar Farm,Q00036,Acciona Energy Australia Global Pty Ltd,acciona_NR,QLD1,387,150901,ADSF_GU1,Solar PV,Single Axis Tracking,,ALDGASF1,Semi-scheduled,157,3.09,2.47,485.13,387.79,,In Service,45929,2051,,46091,46094.437731481485,387.005,387.005,387.005,387.005,387.005,387.005,387.005,387.005,387.005,387.005,387.005,387.005,387.005,387.005,387.005,387.005,387.005,387.005,387.005,387.005,387.005,387.005,387.005,387.005,387.005,387.005,387.005,387.005,387.005,387.005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
306901|3069|ACBS_GU1||Battery Storage|Lithium-ion,3069,Alligator Creek BESS,Q00239,Alligator Creek BESS Pty Ltd,,QLD1,120,306901,ACBS_GU1,Battery Storage,Lithium-ion,,,Scheduled,1,,120,,120,,Publicly Announced,,,,46091,45840.98260416667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100301|1003|Appin:1-54|APPIN|Other|Other,1003,Appin,,EDL CSM NSW Pty Ltd,EDLGRPOP,NSW1,55,100301,Appin:1-54,Other,Other,Landfill Gas,APPIN,Non-scheduled,54,,1.03,,55.62,,In Service,,2036,,46091,46108.68335648148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220001|2200|ABESS_G1||Battery Storage|Lithium-ion,2200,Apsley BESS Project,N00063,BW Ess Australia Pty Ltd,bw-ess_nr,NSW1,120,220001,ABESS_G1,Battery Storage,Lithium-ion,,,Scheduled,1,,120,,120,260,Publicly Announced,,,,46361,46170.62701388889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195701|1957|AquilWin||Wind|Onshore,1957,Aquila Wind,N00038,ACEN Australia Pty Ltd,acenaustralia_NR,NSW1,200,195701,AquilWin,Wind,Onshore,,,Semi-scheduled,28,7.2,7.2,201.6,201.6,,Publicly Announced,48549,2080,,46361,46155.57486111111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
