source_record_id,asset_type,substation_name,voltage_level,summer_total_capacity_mva,summer_firm_capacity_mva,summer_load_transfer_capacity_mva,summer_95pct_peak_exceeded_hours_per_year,summer_embedded_solar_pv_mw,summer_embedded_other_generation_mw,winter_total_capacity_mva,winter_firm_capacity_mva,winter_load_transfer_capacity_mva,winter_95pct_peak_exceeded_hours_per_year,winter_embedded_solar_pv_mw,winter_embedded_other_generation_mw,summer_actual_2022_23_mva,summer_actual_2022_23_pf,summer_actual_2023_24_mva,summer_actual_2023_24_pf,summer_actual_2024_25_mva,summer_actual_2024_25_pf,winter_actual_2022_mva,winter_actual_2022_pf,winter_actual_2023_mva,winter_actual_2023_pf,winter_actual_2024_mva,winter_actual_2024_pf,summer_forecast_2025_26_mva,summer_forecast_2025_26_pf,summer_forecast_2026_27_mva,summer_forecast_2026_27_pf,summer_forecast_2027_28_mva,summer_forecast_2027_28_pf,summer_forecast_2028_29_mva,summer_forecast_2028_29_pf,summer_forecast_2029_30_mva,summer_forecast_2029_30_pf,winter_forecast_2025_mva,winter_forecast_2025_pf,winter_forecast_2026_mva,winter_forecast_2026_pf,winter_forecast_2027_mva,winter_forecast_2027_pf,winter_forecast_2028_mva,winter_forecast_2028_pf,winter_forecast_2029_mva,winter_forecast_2029_pf,summer_apparent_firm_margin_latest_mva,summer_apparent_firm_margin_2029_30_mva,winter_apparent_firm_margin_latest_mva,winter_apparent_firm_margin_2029_mva,capacity_interpretation
zone_substation|ABERDEEN|66/11kV,zone_substation,ABERDEEN,66/11kV,46.41,25.53,4.76,2.25,3.059855,0.0,46.41,25.53,3.45,0.0,2.795275,0.0,4.64,1.0,5.58,0.99,4.76,1.0,3.55,0.99,4.3,1.0,3.45,0.99,4.69,0.99,4.77,0.99,5.05,0.99,7.48,0.99,9.06,0.99,4.19,1.0,4.14,1.0,4.16,1.0,4.24,1.0,8.92,1.0,20.77,16.47,22.08,16.61,Apparent arithmetic margin only: firm capacity minus reported actual/forecast MVA; not guaranteed connection headroom.
zone_substation|ADAMSTOWN|132/11kV,zone_substation,ADAMSTOWN,132/11kV,125.21,63.03,0.0,0.75,14.396022,0.18662,130.01,65.01,0.0,0.0,13.261532,0.18662,28.91,0.99,29.34,0.9,32.08,0.97,22.76,1.0,22.54,0.9,22.17,0.98,31.49,0.99,31.34,0.99,31.2,0.99,31.9,0.99,31.52,0.99,30.66,0.99,30.46,0.99,30.43,0.99,30.43,0.99,31.4,0.99,30.95,31.51,42.84,33.61,Apparent arithmetic margin only: firm capacity minus reported actual/forecast MVA; not guaranteed connection headroom.
zone_substation|ARGENTON|132/11kV,zone_substation,ARGENTON,132/11kV,121.4,60.8,27.0841473772392,0.5,21.843415,0.09312,121.4,64.19,19.091088123305617,0.0,19.177075,0.09312,33.09,0.99,36.28,0.9,39.34,0.99,25.82,1.0,26.83,0.9,27.73,0.87,31.34,0.99,31.48,0.99,31.73,0.99,32.89,0.99,33.79,0.99,28.12,0.99,27.84,0.99,28.05,0.99,28.37,0.99,29.63,0.99,21.46,27.01,36.46,34.56,Apparent arithmetic margin only: firm capacity minus reported actual/forecast MVA; not guaranteed connection headroom.
zone_substation|AUBURN|33/11kV,zone_substation,AUBURN,33/11kV,83.53,50.14,20.866332539439032,0.5,4.857755,0.0,83.53,50.16,14.289835587667783,0.0,4.451185,0.0,25.14,0.98,25.55,0.97,31.57,0.98,19.35,0.98,20.44,0.9,21.62,0.99,26.23,0.97,26.38,0.97,26.75,0.97,27.33,0.97,28.11,0.97,23.59,0.98,24.07,0.98,24.65,0.98,25.45,0.98,26.43,0.98,18.57,22.03,28.54,23.73,Apparent arithmetic margin only: firm capacity minus reported actual/forecast MVA; not guaranteed connection headroom.
zone_substation|AVOCA|66/11kV,zone_substation,AVOCA,66/11kV,97.93,59.83,12.349609176291136,0.75,22.899415,1.0228,101.78,63.67,11.293255436957285,0.0,21.22651,1.0228,37.8,1.0,35.01,1.0,35.54,1.0,36.58,1.0,31.35,1.0,32.5,1.0,38.17,1.0,38.62,1.0,38.76,1.0,38.41,1.0,39.17,1.0,39.91,1.0,39.57,1.0,39.92,1.0,40.08,1.0,39.67,1.0,24.29,20.66,31.17,24.0,Apparent arithmetic margin only: firm capacity minus reported actual/forecast MVA; not guaranteed connection headroom.
zone_substation|AVONDALE|33/11kV,zone_substation,AVONDALE,33/11kV,47.17,23.59,10.499294416646846,0.5,11.521455,0.0,47.17,23.59,7.80123784849237,0.0,10.363405,0.0,10.86,1.0,11.73,1.0,13.62,1.0,7.86,1.0,8.3,1.0,10.12,1.0,12.17,1.0,12.37,1.0,12.54,1.0,13.39,1.0,13.7,1.0,9.45,1.0,9.49,1.0,9.61,1.0,9.64,1.0,10.26,1.0,9.97,9.89,13.47,13.33,Apparent arithmetic margin only: firm capacity minus reported actual/forecast MVA; not guaranteed connection headroom.
zone_substation|BAERAMI|33/11kV,zone_substation,BAERAMI,33/11kV,2.44,0.0,0.116415002340537,2.5,0.27909,0.0,2.67,0.0,0.08687686741831119,0.0,0.26549,0.0,0.61,0.95,0.67,0.95,0.67,0.98,0.48,0.99,0.6,0.97,0.5,1.0,0.9,0.95,0.93,0.95,0.93,0.95,0.93,0.95,0.92,0.95,0.78,0.97,0.78,0.97,0.81,0.97,0.83,0.97,0.84,0.97,-0.67,-0.92,-0.5,-0.84,Apparent arithmetic margin only: firm capacity minus reported actual/forecast MVA; not guaranteed connection headroom.
zone_substation|BALGOWLAH NORTH|132/11kV,zone_substation,BALGOWLAH NORTH,132/11kV,76.53,43.92,13.024381442171569,0.0,17.89424,0.01,76.53,43.92,14.287769412752585,2.25,16.14506,0.01,28.75,1.0,28.34,1.0,28.35,1.0,31.39,1.0,28.54,1.0,31.1,1.0,27.97,1.0,28.39,1.0,28.03,1.0,27.83,1.0,27.6,1.0,30.14,1.0,29.91,1.0,30.44,1.0,30.12,1.0,29.97,1.0,15.57,16.32,12.82,13.95,Apparent arithmetic margin only: firm capacity minus reported actual/forecast MVA; not guaranteed connection headroom.
zone_substation|BANKSTOWN|132/11kV,zone_substation,BANKSTOWN,132/11kV,127.65,63.52,28.6,1.25,19.67853,0.2,128.15,65.01,22.0,0.0,18.026495,0.2,43.08,0.99,47.26,0.99,44.06,0.99,39.31,1.0,36.42,0.9,36.16,1.0,48.54,0.99,49.53,0.99,49.69,0.99,51.37,0.99,53.99,0.99,35.58,0.99,33.79,0.99,34.6,0.99,34.91,0.99,36.41,0.99,19.46,9.53,28.85,28.6,Apparent arithmetic margin only: firm capacity minus reported actual/forecast MVA; not guaranteed connection headroom.
zone_substation|BASS HILL|33/11kV,zone_substation,BASS HILL,33/11kV,40.11,20.69,7.780607685414324,8.0,7.193515,0.0,40.11,20.69,6.498854945659227,0.0,6.586185,0.0,17.55,1.0,20.01,1.0,19.0,1.0,14.88,1.0,17.36,1.0,15.87,1.0,17.21,1.0,18.02,1.0,17.95,1.0,18.01,1.0,18.03,1.0,15.83,1.0,15.77,1.0,16.53,1.0,16.57,1.0,16.71,1.0,1.69,2.66,4.82,3.98,Apparent arithmetic margin only: firm capacity minus reported actual/forecast MVA; not guaranteed connection headroom.
zone_substation|BEACON HILL|33/11kV,zone_substation,BEACON HILL,33/11kV,54.12,26.67,18.6,0.5,9.688411,0.0,54.12,26.67,16.8,0.5,8.559266,0.0,17.19,0.94,19.69,0.9,18.45,0.96,18.49,0.96,18.46,0.9,17.75,0.96,18.12,0.94,18.29,0.94,18.46,0.94,18.72,0.94,19.97,0.94,18.5,0.96,18.4,0.96,18.62,0.96,18.82,0.96,19.09,0.96,8.22,6.7,8.92,7.58,Apparent arithmetic margin only: firm capacity minus reported actual/forecast MVA; not guaranteed connection headroom.
