source_record_id,substation_name,source_file,period_start,period_end,observation_count_valid,invalid_or_missing_rows,negative_rows,reported_units,reported_mean_mw,reported_p95_mw,reported_p99_mw,reported_peak_mw,reported_mean_mva,reported_p95_mva,reported_p99_mva,reported_peak_mva,possible_scale_or_meter_anomaly,interpretation_note
ergon 20252026/Agnes Water_EECL_20252026.csv,Agnes Water,ergon 20252026/Agnes Water_EECL_20252026.csv,2025-07-01,2026-06-30,17520,0,1435,MW/MVA,2345.999774,4501.151,5258.9264,6345.72,2516.901732,4536.5,5277.7917,6348.59,true,Raw Ergon reported MW/MVA; no rescaling or spike correction applied.
ergon 20252026/Aitkenvale_EECL_20252026.csv,Aitkenvale,ergon 20252026/Aitkenvale_EECL_20252026.csv,2025-07-01,2026-06-30,17520,0,0,MW/MVA,8932.882139,14075.6925,16203.6288,20780.0,8978.812127,14096.9945,16226.1676,20859.55,true,Raw Ergon reported MW/MVA; no rescaling or spike correction applied.
ergon 20252026/Alan Sherriff_EECL_20252026.csv,Alan Sherriff,ergon 20252026/Alan Sherriff_EECL_20252026.csv,2025-07-01,2026-06-30,17520,0,802,MW/MVA,10800.661981,20152.8985,23352.814,28733.37,11131.429667,20167.373,23413.5282,29020.9,true,Raw Ergon reported MW/MVA; no rescaling or spike correction applied.
ergon 20252026/Alfred Street_EECL_20252026.csv,Alfred Street,ergon 20252026/Alfred Street_EECL_20252026.csv,2025-07-01,2026-06-30,17520,0,0,MW/MVA,8872.006184,14305.73,16223.3134,20184.9,8958.978779,14471.2835,16353.4681,20197.27,true,Raw Ergon reported MW/MVA; no rescaling or spike correction applied.
ergon 20252026/Allora_EECL_20252026.csv,Allora,ergon 20252026/Allora_EECL_20252026.csv,2025-07-01,2026-06-30,17520,0,1917,MW/MVA,2022.826964,4631.04,5351.2185,6817.9,2390.065821,4657.3285,5391.7055,6858.89,true,Raw Ergon reported MW/MVA; no rescaling or spike correction applied.
ergon 20252026/Atherton_EECL_20252026.csv,Atherton,ergon 20252026/Atherton_EECL_20252026.csv,2025-07-01,2026-06-30,17520,0,16,MW/MVA,13323.176821,21090.689,22938.6286,25527.74,13486.508768,21122.5845,22961.209,25541.06,true,Raw Ergon reported MW/MVA; no rescaling or spike correction applied.
ergon 20252026/Awoonga_EECL_20252026.csv,Awoonga,ergon 20252026/Awoonga_EECL_20252026.csv,2025-07-01,2026-06-30,17520,0,2925,MW/MVA,1955.048064,4464.339,4719.341,5779.16,2276.571002,4633.547,4887.7542,5971.44,true,Raw Ergon reported MW/MVA; no rescaling or spike correction applied.
ergon 20252026/Ayr_EECL_20252026.csv,Ayr,ergon 20252026/Ayr_EECL_20252026.csv,2025-07-01,2026-06-30,17520,0,1320,MW/MVA,2207.551266,4981.44,6492.4934,7893.79,2613.778866,5430.2675,7054.592,8686.36,true,Raw Ergon reported MW/MVA; no rescaling or spike correction applied.
ergon 20252026/Balberra_EECL_20252026.csv,Balberra,ergon 20252026/Balberra_EECL_20252026.csv,2025-07-01,2026-06-30,17520,0,1699,MW/MVA,544.643662,1306.2175,1690.6017,2239.45,621.734787,1348.6935,1740.3575,2297.42,true,Raw Ergon reported MW/MVA; no rescaling or spike correction applied.
ergon 20252026/Bambaroo_EECL_20252026.csv,Bambaroo,ergon 20252026/Bambaroo_EECL_20252026.csv,2025-07-01,2026-06-30,17520,0,401,MW/MVA,116.945295,258.5725,361.4824,544.9,119.402928,262.057,380.9144,584.69,false,Raw Ergon reported MW/MVA; no rescaling or spike correction applied.
ergon 20252026/Barcaldine_EECL_20252026.csv,Barcaldine,ergon 20252026/Barcaldine_EECL_20252026.csv,2025-07-01,2026-06-30,17520,0,6976,MW/MVA,-2345.987192,4419.667,5392.7224,8626.97,6532.827365,18326.9075,20963.7388,23239.16,true,Raw Ergon reported MW/MVA; no rescaling or spike correction applied.
ergon 20252026/Bargara_EECL_20252026.csv,Bargara,ergon 20252026/Bargara_EECL_20252026.csv,2025-07-01,2026-06-30,17520,0,4062,MW/MVA,3703.905063,10283.655,12066.0232,16106.0,5649.65049,10301.335,12089.0183,16107.37,true,Raw Ergon reported MW/MVA; no rescaling or spike correction applied.
ergon 20252026/Barratta_EECL_20252026.csv,Barratta,ergon 20252026/Barratta_EECL_20252026.csv,2025-07-01,2026-06-30,17520,0,636,MW/MVA,614.255228,1390.9215,1738.7337,2234.2,738.548375,1637.133,2022.3947,2566.39,true,Raw Ergon reported MW/MVA; no rescaling or spike correction applied.
ergon 20252026/Bedford Weir_EECL_20252026.csv,Bedford Weir,ergon 20252026/Bedford Weir_EECL_20252026.csv,2025-07-01,2026-06-30,17520,0,0,MW/MVA,4253.336123,6181.226,7048.7803,8792.13,4363.603049,6374.641,7273.127,8992.17,true,Raw Ergon reported MW/MVA; no rescaling or spike correction applied.
ergon 20252026/Belgian Gardens_EECL_20252026.csv,Belgian Gardens,ergon 20252026/Belgian Gardens_EECL_20252026.csv,2025-07-01,2026-06-30,17520,0,30,MW/MVA,5276.08876,9307.543,10705.24,12234.06,5323.907488,9313.1965,10707.7746,12234.26,true,Raw Ergon reported MW/MVA; no rescaling or spike correction applied.
ergon 20252026/Berserker_EECL_20252026.csv,Berserker,ergon 20252026/Berserker_EECL_20252026.csv,2025-07-01,2026-06-30,17520,0,0,MW/MVA,7645.052877,12917.236,15568.0074,20336.56,7858.486279,13277.6545,15919.2081,20793.2,true,Raw Ergon reported MW/MVA; no rescaling or spike correction applied.
ergon 20252026/Biloela_EECL_20252026.csv,Biloela,ergon 20252026/Biloela_EECL_20252026.csv,2025-07-01,2026-06-30,17520,0,0,MW/MVA,6655.164553,10530.0,12791.62,15498.0,6859.949172,10726.4505,13048.0726,15811.31,true,Raw Ergon reported MW/MVA; no rescaling or spike correction applied.
ergon 20252026/Bingegang_EECL_20252026.csv,Bingegang,ergon 20252026/Bingegang_EECL_20252026.csv,2025-07-01,2026-06-30,17520,0,0,MW/MVA,936.083728,1202.8355,1332.5343,4841.87,947.836854,1207.893,1342.2532,4970.07,true,Raw Ergon reported MW/MVA; no rescaling or spike correction applied.
ergon 20252026/Black River_EECL_20252026.csv,Black River,ergon 20252026/Black River_EECL_20252026.csv,2025-07-01,2026-06-30,17520,0,3223,MW/MVA,7271.51763,18597.869,21948.8904,26185.28,9415.990955,18725.7455,22075.0985,26301.75,true,Raw Ergon reported MW/MVA; no rescaling or spike correction applied.
ergon 20252026/Blackall_EECL_20252026.csv,Blackall,ergon 20252026/Blackall_EECL_20252026.csv,2025-07-01,2026-06-30,17520,0,48,MW/MVA,1762.112437,3158.0,3957.9433,4913.35,2070.079108,3265.76,4005.5017,4935.48,true,Raw Ergon reported MW/MVA; no rescaling or spike correction applied.
ergon 20252026/Blackwater_EECL_20252026.csv,Blackwater,ergon 20252026/Blackwater_EECL_20252026.csv,2025-07-01,2026-06-30,17520,0,1330,MW/MVA,3635.259826,6619.593,8046.5811,12084.68,4527.050378,7010.3065,8675.3075,30562.96,true,Raw Ergon reported MW/MVA; no rescaling or spike correction applied.
ergon 20252026/Bluewater_EECL_20252026.csv,Bluewater,ergon 20252026/Bluewater_EECL_20252026.csv,2025-07-01,2026-06-30,17520,0,3306,MW/MVA,1165.470976,3047.46,3603.7424,4352.36,1519.178324,3049.234,3603.9363,4352.42,true,Raw Ergon reported MW/MVA; no rescaling or spike correction applied.
ergon 20252026/Bohle_EECL_20252026.csv,Bohle,ergon 20252026/Bohle_EECL_20252026.csv,2025-07-01,2026-06-30,17520,0,319,MW/MVA,9830.204259,15998.207,18239.617,24190.64,10115.400227,16043.291,18271.2159,24322.56,true,Raw Ergon reported MW/MVA; no rescaling or spike correction applied.
ergon 20252026/Boondooma Dam_EECL_20252026.csv,Boondooma Dam,ergon 20252026/Boondooma Dam_EECL_20252026.csv,2025-07-01,2026-06-30,17520,0,125,MW/MVA,1293.485742,1900.21,1919.162,1956.8,1350.431588,1920.1025,1939.5548,1974.82,true,Raw Ergon reported MW/MVA; no rescaling or spike correction applied.
ergon 20252026/Bowen_EECL_20252026.csv,Bowen,ergon 20252026/Bowen_EECL_20252026.csv,2025-07-01,2026-06-30,17520,0,1596,MW/MVA,4995.371438,9882.263,11419.7794,13382.16,5338.086541,9922.434,11449.9693,13526.27,true,Raw Ergon reported MW/MVA; no rescaling or spike correction applied.
ergon 20252026/Boyne Residential_EECL_20252026.csv,Boyne Residential,ergon 20252026/Boyne Residential_EECL_20252026.csv,2025-07-01,2026-06-30,17520,0,2999,MW/MVA,3409.858033,7859.1355,9360.9595,11731.67,4082.198664,7860.5235,9366.9214,11735.34,true,Raw Ergon reported MW/MVA; no rescaling or spike correction applied.
ergon 20252026/Broxburn_EECL_20252026.csv,Broxburn,ergon 20252026/Broxburn_EECL_20252026.csv,2025-07-01,2026-06-30,17520,0,0,MW/MVA,4225.524087,6934.0,7929.24,10228.0,4461.499157,7078.0375,8198.3268,10518.27,true,Raw Ergon reported MW/MVA; no rescaling or spike correction applied.
ergon 20252026/Bullyard_EECL_20252026.csv,Bullyard,ergon 20252026/Bullyard_EECL_20252026.csv,2025-07-01,2026-06-30,17520,0,982,MW/MVA,730.259485,1475.906,1834.4544,2738.48,833.574962,1546.749,1916.9858,2836.0,true,Raw Ergon reported MW/MVA; no rescaling or spike correction applied.
ergon 20252026/Bundaberg Central_EECL_20252026.csv,Bundaberg Central,ergon 20252026/Bundaberg Central_EECL_20252026.csv,2025-07-01,2026-06-30,17520,0,1,MW/MVA,6530.907079,10393.919,11982.5558,14894.7,6750.071584,10635.772,12156.7826,15089.05,true,Raw Ergon reported MW/MVA; no rescaling or spike correction applied.
ergon 20252026/Cairns City_EECL_20252026.csv,Cairns City,ergon 20252026/Cairns City_EECL_20252026.csv,2025-07-01,2026-06-30,17520,0,5638,MW/MVA,16572.486857,36256.166,39399.24,54272.76,17237.017199,36263.611,39403.5978,54272.77,true,Raw Ergon reported MW/MVA; no rescaling or spike correction applied.
ergon 20252026/Cairns North_EECL_20252026.csv,Cairns North,ergon 20252026/Cairns North_EECL_20252026.csv,2025-07-01,2026-06-30,17520,0,0,MW/MVA,26016.127506,41177.757,45946.1054,52228.26,26377.271075,41257.5485,46010.1843,52228.85,true,Raw Ergon reported MW/MVA; no rescaling or spike correction applied.
ergon 20252026/Calen_EECL_20252026.csv,Calen,ergon 20252026/Calen_EECL_20252026.csv,2025-07-01,2026-06-30,17520,0,2332,MW/MVA,892.191187,2151.883,2853.506,3479.68,1019.785107,2203.866,2928.8066,3582.59,true,Raw Ergon reported MW/MVA; no rescaling or spike correction applied.
ergon 20252026/Calliope_EECL_20252026.csv,Calliope,ergon 20252026/Calliope_EECL_20252026.csv,2025-07-01,2026-06-30,17520,0,2653,MW/MVA,2604.226018,5796.9715,7101.6111,11404.68,3067.74295,5823.5425,7188.7956,16606.66,true,Raw Ergon reported MW/MVA; no rescaling or spike correction applied.
ergon 20252026/Canning Street_EECL_20252026.csv,Canning Street,ergon 20252026/Canning Street_EECL_20252026.csv,2025-07-01,2026-06-30,17520,0,0,MW/MVA,8176.056393,13192.1,16086.96,20562.0,8222.954086,13238.4965,16148.9183,20669.16,true,Raw Ergon reported MW/MVA; no rescaling or spike correction applied.
ergon 20252026/Cannonvale_EECL_20252026.csv,Cannonvale,ergon 20252026/Cannonvale_EECL_20252026.csv,2025-07-01,2026-06-30,17520,0,152,MW/MVA,7897.804878,13709.644,15660.5978,18071.26,8072.82501,13732.533,15686.4128,18115.49,true,Raw Ergon reported MW/MVA; no rescaling or spike correction applied.
ergon 20252026/Cape Ferguson_EECL_20252026.csv,Cape Ferguson,ergon 20252026/Cape Ferguson_EECL_20252026.csv,2025-07-01,2026-06-30,17520,0,103,MW/MVA,939.176683,1521.2805,1701.6833,2127.22,943.722922,1521.632,1702.0549,2132.9,true,Raw Ergon reported MW/MVA; no rescaling or spike correction applied.
ergon 20252026/Cardwell_EECL_20252026.csv,Cardwell,ergon 20252026/Cardwell_EECL_20252026.csv,2025-07-01,2026-06-30,17520,0,529,MW/MVA,1818.474147,3406.994,4195.7811,5082.98,1932.515043,3447.107,4244.3205,5192.53,true,Raw Ergon reported MW/MVA; no rescaling or spike correction applied.
