source_record_id,region,substation,kv,transformer_rating_tx1,transformer_rating_tx2,transformer_rating_tx3,transformer_max_nameplate_tx1_mva,transformer_max_nameplate_tx2_mva,transformer_max_nameplate_tx3_mva,summer_firm_normal_cyclic_rating_mva,summer_forecast_pf,summer_forecast_2025_26_mva,summer_forecast_2026_27_mva,summer_forecast_2027_28_mva,summer_forecast_2028_29_mva,summer_forecast_2029_30_mva,summer_embedded_generation_mw,summer_95pct_peak_exceeded_hours,winter_firm_normal_cyclic_rating_mva,winter_forecast_pf,winter_forecast_2026_mva,winter_forecast_2027_mva,winter_forecast_2028_mva,winter_forecast_2029_mva,winter_forecast_2030_mva,winter_embedded_generation_mw,winter_95pct_peak_exceeded_hours,summer_2029_apparent_firm_margin_mva,winter_2030_apparent_firm_margin_mva
zone_substation|Albury|Corowa|132/22,Albury,Corowa,132/22,30,27/30,,30,30,,33,0.965,17.17,17.15,17.2,17.23,17.22,9.52,1.5,36,0.983,14.2,14.37,14.52,14.66,14.78,9.52,6,15.780000000000001,21.22
zone_substation|Albury|Jelbart|132/22,Albury,Jelbart,132/22,30/44,30/44,,44,44,,48.4,0.998,39.54,40.44,41.24,41.96,42.78,18.31,1,52.8,0.991,34.1,34.14,34.2,34.26,34.31,18.31,5,5.619999999999997,18.489999999999995
zone_substation|Albury|Mulwala|132/22,Albury,Mulwala,132/22,30,30,,30,30,,33,0.989,13.01,13.03,13.1,13.17,13.24,6.96,3.5,36,0.998,11.19,11.27,11.35,11.44,11.5,6.96,31.5,19.759999999999998,24.5
zone_substation|Albury|Union Rd|132/22,Albury,Union Rd,132/22,30,30/40,30/44,30,40,44,77,0.997,60.62,61.04,61.48,61.86,62.2,49.36,3,84,0.999,49.09,49.73,50.33,50.91,51.41,49.36,4,14.799999999999997,32.59
zone_substation|Armidale|Galloway St|66/11,Armidale,Galloway St,66/11,12.5/16,10/12.5,,16,12.5,,13.75,1,8.7,8.74,8.76,8.79,8.82,9.41,2,15,1,14.41,14.56,14.71,14.83,14.95,9.41,4.5,4.93,0.05000000000000071
zone_substation|Armidale|Hillgrove|66/11,Armidale,Hillgrove,66/11,5/6.25,,,6.25,,,0,0.902,0.35,0.35,0.36,0.36,0.37,0.22,2,0,0.945,0.46,0.46,0.47,0.47,0.48,0.22,0.5,-0.37,-0.48
zone_substation|Armidale|Madgwick Dr|66/11,Armidale,Madgwick Dr,66/11,10/12.5,10/16,,12.5,16,,13.75,0.994,7.29,7.31,7.32,7.33,7.35,6.43,1,15,0.995,12.07,12.18,12.28,12.38,12.46,6.43,3,6.4,2.539999999999999
zone_substation|Armidale|Miller St|66/11,Armidale,Miller St,66/11,12.5/16,10/16,,16,16,,17.6,0.999,6.65,6.65,6.65,6.64,6.64,5.97,0.5,19.2,1,11.64,11.63,11.61,11.6,11.58,5.97,3.5,10.96,7.619999999999999
zone_substation|Armidale|Oaky|66/11,Armidale,Oaky,66/11,3.5,3.5,,3.5,3.5,,3.85,0.951,0.36,0.36,0.36,0.36,0.36,0.21,3.5,4.2,0.95,0.46,0.46,0.47,0.47,0.48,0.21,3.5,3.49,3.72
zone_substation|Armidale|Uralla|66/11,Armidale,Uralla,66/11,8,5,,8,5,,5.5,0.95,2.73,2.74,2.76,2.77,2.78,3.62,1.5,6,0.95,4.58,4.62,4.65,4.69,4.72,3.62,2.5,2.72,1.2800000000000002
zone_substation|Armidale|Walcha South 22/11kV|22/11,Armidale,Walcha South 22/11kV,22/11,3,3,,3,3,,3.3,0.998,1.17,1.17,1.17,1.17,1.17,1.25,2,3.6,1,1.89,1.92,1.95,1.97,1.99,1.25,5,2.13,1.61
zone_substation|Armidale|Walcha South 66/22kV|66/22,Armidale,Walcha South 66/22kV,66/22,8,8/10,,8,10,,8.8,0.761,1.53,1.54,1.56,1.58,1.59,1.13,11,9.6,0.735,2.16,2.18,2.21,2.23,2.25,1.13,2.5,7.210000000000001,7.35
zone_substation|Bathurst|Blayney|66/11,Bathurst,Blayney,66/11,20,14/20,,20,20,,22,0.988,10.4,10.41,10.44,10.45,10.48,5.71,3,24,0.992,14.46,14.78,15.02,15.27,15.53,5.71,6.5,11.52,8.47
zone_substation|Bathurst|Mandurama|66/11,Bathurst,Mandurama,66/11,2.5,3/4,,2.5,4,,2.75,0.998,1.8,1.8,1.81,1.81,1.81,1.85,2,3,1,2.22,2.21,2.2,2.19,2.19,1.85,6.5,0.94,0.81
zone_substation|Bathurst|Raglan|66/11,Bathurst,Raglan,66/11,18/30,18/30,,30,30,,33,1,20.45,20.45,20.48,20.44,20.48,13.28,1,36,0.997,20.59,20.7,20.84,20.93,21.04,13.28,7,12.52,14.96
zone_substation|Bathurst|Russell Street|66/11,Bathurst,Russell Street,66/11,20/30,15/30,20/30,30,30,30,66,0.984,22.96,23.33,23.7,24.02,24.33,11.24,1.5,72,0.995,25.14,25.55,25.91,26.33,26.72,11.24,8,41.67,45.28
zone_substation|Bathurst|Stewart|66/11,Bathurst,Stewart,66/11,13/20,15/18/25,,20,25,,22,0.998,20.3,20.25,20.25,20.27,20.27,15.11,1,24,0.991,20.18,20.39,20.59,20.78,20.96,15.11,14,1.7300000000000004,3.039999999999999
zone_substation|Bega|Bega 132kV|132/66,Bega,Bega 132kV,132/66,35/60,35/60,,60,60,,66,0.991,30.6,30.67,30.78,30.92,30.99,0,2.5,72,0.995,42.59,42.69,42.81,42.95,43.05,0,4,35.010000000000005,28.950000000000003
zone_substation|Bega|Bermagui|33/11,Bega,Bermagui,33/11,5,5,,5,5,,5.5,1,2.55,2.55,2.55,2.55,2.55,3.23,1.5,6,1,3.3,3.36,3.41,3.46,3.51,3.23,4,2.95,2.49
zone_substation|Bega|Brogo|33/11,Bega,Brogo,33/11,3,,,3,,,0,0.983,0.78,0.79,0.79,0.8,0.81,0.66,5,0,0.993,0.66,0.66,0.66,0.66,0.67,0.66,2.5,-0.81,-0.67
zone_substation|Bega|Cobargo|33/11,Bega,Cobargo,33/11,3,2.5,,3,2.5,,2.75,0.999,1.2,1.2,1.2,1.2,1.2,2.15,1,3,0.999,1.56,1.57,1.58,1.59,1.6,2.15,7,1.55,1.4
zone_substation|Bega|Eden South|66/11,Bega,Eden South,66/11,10/16,10/16,,16,16,,17.6,0.998,4.03,4.07,4.12,4.16,4.21,5.98,2,19.2,1,4.95,4.96,4.96,4.97,4.97,5.98,4.5,13.39,14.23
zone_substation|Bega|Edrom|66/11,Bega,Edrom,66/11,5,5,,5,5,,5.5,0.876,2.27,2.23,2.19,2.17,2.14,0,0.5,6,0.942,2.15,2.15,2.15,2.15,2.15,0,3.5,3.36,3.85
zone_substation|Bega|Maher Street 66/11kV|66/11,Bega,Maher Street 66/11kV,66/11,24/30,24/30,,30,30,,33,0.986,12.82,12.88,12.87,12.92,12.93,10.65,3,36,0.997,15.37,15.45,15.52,15.61,15.68,10.65,5.5,20.07,20.32
zone_substation|Bega|Maher Street 66/33kV|66/33,Bega,Maher Street 66/33kV,66/33,8,,,8,,,0,1,3.86,3.83,3.8,3.77,3.76,0,3,0,0.999,5.57,5.56,5.56,5.55,5.54,0,6,-3.76,-5.54
zone_substation|Bega|Pambula|66/11,Bega,Pambula,66/11,10/13/16,10/13/16,,16,16,,17.6,0.999,11.5,11.52,11.56,11.6,11.64,12.51,2,19.2,1,16.47,16.5,16.53,16.57,16.61,12.51,5,5.960000000000001,2.59
zone_substation|Bega|Quira|66/11,Bega,Quira,66/11,5,,,5,,,0,0.968,1.42,1.44,1.46,1.48,1.5,1.12,1.5,0,0.985,1.35,1.36,1.35,1.35,1.35,1.12,2.5,-1.5,-1.35
zone_substation|Beryl|Coonabarabran|66/22,Beryl,Coonabarabran,66/22,10/13,10/13,,13,13,,14.3,1,7.85,7.89,7.88,7.89,7.91,6.72,1.5,15.6,0.99,8.15,8.12,8.11,8.09,8.08,6.72,8.5,6.390000000000001,7.52
zone_substation|Beryl|Dunedoo|66/22,Beryl,Dunedoo,66/22,7.5/10,7.5/10,,10,10,,11,0.999,5.09,5.13,5.18,5.2,5.26,4.24,1,12,0.99,4.87,4.85,4.84,4.84,4.83,4.24,7.5,5.74,7.17
zone_substation|Beryl|Gulgong|66/22,Beryl,Gulgong,66/22,5,,,5,,,0,0.999,3.8,3.83,3.84,3.86,3.89,2.33,1.5,0,0.997,3.37,3.36,3.36,3.35,3.35,2.33,3.5,-3.89,-3.35
"zone_substation|Beryl|Mudgee|132/22, 66/22",Beryl,Mudgee,"132/22, 66/22",18/30,30,,30,30,,33,1,28.55,29.04,29.55,30.07,30.6,18.38,1.5,36,0.996,25.04,25.12,25.22,25.31,25.4,18.38,12,2.3999999999999986,10.600000000000001
zone_substation|Beryl|Ulan Town|66/22,Beryl,Ulan Town,66/22,3,2.5,,3,2.5,,2.75,1,2.79,2.78,2.77,2.76,2.76,1.71,2,3,0.995,2.56,2.59,2.61,2.64,2.66,1.71,1,-0.009999999999999787,0.33999999999999986
zone_substation|Broken Hill|Menindee|66/22,Broken Hill,Menindee,66/22,4/5,4/5,,5,5,,5.5,0.999,0.99,0.99,1,1,1,1.03,2.5,6,0.998,0.73,0.73,0.73,0.73,0.73,1.03,0.5,4.5,5.27
zone_substation|Broken Hill|Mt Gipps 33kV|66/33,Broken Hill,Mt Gipps 33kV,66/33,1.5,1.5,,1.5,1.5,,1.65,0.987,1.29,1.34,1.38,1.44,1.48,0.95,5.5,1.8,0.813,1.24,1.33,1.43,1.51,1.58,0.95,8,0.16999999999999993,0.21999999999999997
zone_substation|Broken Hill|Mt Gipps 6.6kV|66/6.6,Broken Hill,Mt Gipps 6.6kV,66/6.6,1.5,1.5/2,,1.5,2,,1.65,1,0.43,0.42,0.42,0.42,0.42,0.13,2,1.8,0.999,0.46,0.46,0.46,0.46,0.46,0.13,4.5,1.23,1.34
zone_substation|Broken Hill|Pinnacles Place|22/66,Broken Hill,Pinnacles Place,22/66,15,15,,15,15,,16.5,0.914,5.57,5.93,5.92,5.92,5.92,0,2,18,0.808,5.11,5.93,5.95,5.98,6,0,0.5,10.58,12
zone_substation|Broken Hill|Sunset Strip 22kV|66/22,Broken Hill,Sunset Strip 22kV,66/22,5,,,5,,,0,0.981,0.64,0.65,0.65,0.66,0.66,0.35,1,0,1,0.44,0.45,0.45,0.45,0.45,0.35,0.5,-0.66,-0.45
zone_substation|Broken Hill|Sunset Strip 33kV|66/33,Broken Hill,Sunset Strip 33kV,66/33,4,4,,4,4,,4.4,0.989,2.37,2.36,2.35,2.34,2.35,0.26,3.5,4.8,0.974,2.34,2.36,2.37,2.39,2.4,0.26,0.5,2.0500000000000003,2.4
zone_substation|Broken Hill|TransGrid 220/22kV Total Broken Hill 22kV Supply|,Broken Hill,TransGrid 220/22kV Total Broken Hill 22kV Supply,,,,,,,,0,0.996,37.39,38.06,38.22,38.39,38.58,26.2,15,0,1,34.01,35.09,35.08,35.08,35.02,26.2,15,-38.58,-35.02
zone_substation|Broken Hill|Wilcannia 33kV|,Broken Hill,Wilcannia 33kV,,,,,,,,0,0.897,0.7,0.71,0.72,0.72,0.73,0.33,3,0,0.789,0.64,0.65,0.65,0.66,0.66,0.33,2,-0.73,-0.66
zone_substation|Broken Hill|Wilcannia 6.6kV|33/6.6,Broken Hill,Wilcannia 6.6kV,33/6.6,3.5,3.5,,3.5,3.5,,3.85,0.984,1.19,1.21,1.24,1.26,1.28,0.68,3.5,4.2,0.993,1.37,1.39,1.41,1.43,1.45,0.68,0.5,2.5700000000000003,2.75
zone_substation|Buronga|Buronga Town|66/22,Buronga,Buronga Town,66/22,20/30,20/30,,30,30,,33,0.977,17.41,17.73,17.99,18.21,18.42,5.79,3,36,0.999,9.15,9.27,9.37,9.48,9.57,5.79,7,14.579999999999998,26.43
zone_substation|Buronga|Dareton|66/22,Buronga,Dareton,66/22,24/30,24/30,,30,30,,33,0.973,8.14,8.19,8.24,8.28,8.34,4.55,6,36,1,4.25,4.28,4.32,4.36,4.4,4.55,9.5,24.66,31.6
zone_substation|Buronga|Ellerslie|66/22,Buronga,Ellerslie,66/22,8,,,8,,,0,1,3.21,3.25,3.29,3.34,3.37,0.65,6,0,0.974,1.64,1.65,1.66,1.67,1.68,0.65,1.5,-3.37,-1.68
zone_substation|Buronga|Ginkgo|66/22,Buronga,Ginkgo,66/22,12.5/16,,,16,,,0,0.863,0.48,0.5,0.51,0.49,0.51,0,2.5,0,0.99,0.08,0.07,0.08,0.08,0.08,0,2,-0.51,-0.08
zone_substation|Buronga|Powercor Robinvale 22kV Euston Distribution Supply|,Buronga,Powercor Robinvale 22kV Euston Distribution Supply,,,,,,,,0,0.977,7.61,7.69,7.75,7.81,7.85,1.33,1.5,0,0.99,3.91,3.95,3.99,4.03,4.06,1.33,0.5,-7.85,-4.06
